"start time","start time ISO","start time timezone","start time offset","end time","end time ISO","end time timezone","end time offset",type,"actual seconds",steps,calories,minutes,"heart rate avg","heart rate min","heart rate max",state,version,id
"2016-04-25 13:10:45",2016-04-25T13:10:45Z,America/New_York,-240,"2016-04-25 13:14:15",2016-04-25T13:14:15Z,America/New_York,-240,bike,210,,5.8000001907349,3.5,90.804763793945,,,complete,1,bike__2016-04-25T131045
"2016-04-25 13:18:09",2016-04-25T13:18:09Z,America/New_York,-240,"2016-04-25 13:28:50",2016-04-25T13:28:50Z,America/New_York,-240,walk,420,901,46.299999237061,10.683333333333,125.15653991699,,,complete,1,walk__2016-04-25T131809
"2016-04-25 13:40:31",2016-04-25T13:40:31Z,America/New_York,-240,"2016-04-25 13:47:39",2016-04-25T13:47:39Z,America/New_York,-240,walk,290,639,36.299999237061,7.1333333333333,132.09602355957,,,complete,1,walk__2016-04-25T134031
"2016-04-25 15:46:30",2016-04-25T15:46:30Z,America/New_York,-240,"2016-04-25 15:53:11",2016-04-25T15:53:11Z,America/New_York,-240,walk,200,382,16.200000762939,6.6833333333333,118.73000335693,,,complete,1,walk__2016-04-25T154630
"2016-04-25 15:57:26",2016-04-25T15:57:26Z,America/New_York,-240,"2016-04-25 16:06:23",2016-04-25T16:06:23Z,America/New_York,-240,walk,193,296,6.5,8.95,99.860107421875,,,complete,1,walk__2016-04-25T155726
"2016-04-25 19:31:31",2016-04-25T19:31:31Z,America/New_York,-240,"2016-04-25 19:43:28",2016-04-25T19:43:28Z,America/New_York,-240,walk,402,724,32.400001525879,11.95,116.00229644775,,,complete,1,walk__2016-04-25T193131
"2016-04-25 20:44:24",2016-04-25T20:44:24Z,America/New_York,-240,"2016-04-25 20:53:16",2016-04-25T20:53:16Z,America/New_York,-240,walk,348,728,26.299999237061,8.8666666666667,111.14942169189,,,complete,1,walk__2016-04-25T204424
"2016-04-25 21:42:28",2016-04-25T21:42:28Z,America/New_York,-240,"2016-04-25 21:49:23",2016-04-25T21:49:23Z,America/New_York,-240,walk,372,691,33.299999237061,6.9166666666667,118.66666412354,,,complete,1,walk__2016-04-25T214228
"2016-04-25 23:46:09",2016-04-25T23:46:09Z,America/New_York,-240,"2016-04-25 23:57:53",2016-04-25T23:57:53Z,America/New_York,-240,walk,351,769,34.200000762939,11.733333333333,118.17021179199,,,complete,1,walk__2016-04-25T234609
"2016-04-26 01:37:46",2016-04-26T01:37:46Z,America/New_York,-240,"2016-04-26 01:42:41",2016-04-26T01:42:41Z,America/New_York,-240,walk,216,466,13.199999809265,4.9166666666667,110.15277862549,,,complete,1,walk__2016-04-26T013746
"2016-04-26 01:50:26",2016-04-26T01:50:26Z,America/New_York,-240,"2016-04-26 02:05:03",2016-04-26T02:05:03Z,America/New_York,-240,walk,431,796,32.799999237061,14.616666666667,117.2313079834,,,complete,1,walk__2016-04-26T015026
