 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,startTime,endTime
2016-04-25,16:00:00,16:40:00,working on microeconomics homework,barb's office,anxious/tired,6/8,,,,,,,,,,2016-04-25 16:00:00,2016-04-25 16:40:00
2016-04-25,16:50:00,17:00:00,drinking hot cocoa,5th floor lounge,happy,8,,,,,,,,,,2016-04-25 16:50:00,2016-04-25 17:00:00
2016-04-25,17:02:00,17:06:00,talking to barb,barb's office,angry,7,,,,,,,,,,2016-04-25 17:02:00,2016-04-25 17:06:00
2016-04-25,17:50:00,19:50:00,class; had a presentation,66 w 12th,anxious/calm,6/8,,,,,,,,,,2016-04-25 17:50:00,2016-04-25 19:50:00
2016-04-25,20:00:00,21:30:00,video class,arnold hall,bored,8,,,,,,,,,,2016-04-25 20:00:00,2016-04-25 21:30:00
2016-04-25,22:30:00,22:45:00,talking to mom and facetimed cat!,home,excited,10,,,,,,,,,,2016-04-25 22:30:00,2016-04-25 22:45:00
2016-04-26,09:15:00,09:20:00,forgot metrocard and had to go home,block from home,anxious,6,,,,,,,,,,2016-04-26 09:15:00,2016-04-26 09:20:00
2016-04-26,10:00:00,11:30:00,calligraphy class aka the best way to start your morning,6 e 16th,calm,10,,,,,,,,,,2016-04-26 10:00:00,2016-04-26 11:30:00
2016-04-26,11:50:00,12:00:00,gossiping with hashem,durst,excited,5,,,,,,,,,,2016-04-26 11:50:00,2016-04-26 12:00:00
2016-04-26,12:35:00,12:45:00,battle of the barb,5th floor,excited anger,,2.00,3.00,,,,3.00,,,,2016-04-26 12:35:00,2016-04-26 12:45:00
2016-04-26,13:00:00,14:45:00,thesis death,5th floor,anxious,,,,,9.00,,,,,,2016-04-26 13:00:00,2016-04-26 14:45:00
2016-04-26,16:15:00,16:30:00,art therapy with elizabeth,5th floor,calm,,,,8.00,,,,,,,2016-04-26 16:15:00,2016-04-26 16:30:00
2016-04-26,16:50:00,17:00:00,sitting with sally on 5,5th floor,calm,,,,6.00,,,,,,,2016-04-26 16:50:00,2016-04-26 17:00:00
2016-04-26,18:15:00,18:20:00,went to talk and realized how uninteresting it was about to be so left,NYU,bored,,,4.00,,4.00,1.00,,,,,2016-04-26 18:15:00,2016-04-26 18:20:00
2016-04-26,20:25:00,21:25:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-04-26 20:25:00,2016-04-26 21:25:00
2016-04-26,21:40:00,21:45:00,find facebook message request from an ex who i broke up with in high school why are you messaging me?!?!?,home,confused/annoyed,,,,,2.00,,1.00,,,,2016-04-26 21:40:00,2016-04-26 21:45:00
2016-04-26,23:45:00,23:46:00,took a melatonin to help me sleep ,home,,,,,,,,,,,,2016-04-26 23:45:00,2016-04-26 23:46:00
2016-04-27,10:00:00,11:40:00,microeconomics class,6 e 16th,bored,,,,4.00,,,,,,8.00,2016-04-27 10:00:00,2016-04-27 11:40:00
2016-04-27,11:50:00,11:55:00,go to meet political psych prof and he says that he can't meet,80 5th av,angry,,,,,2.00,,4.00,,,,2016-04-27 11:50:00,2016-04-27 11:55:00
2016-04-27,12:05:00,12:10:00,talking to psycho-barb,barb's office,alarmed,,,,,3.00,,,,,,2016-04-27 12:05:00,2016-04-27 12:10:00
