Date,Start Time,End TIme,Activity,General Emotion,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,Location
4/29/16,12:00 AM,5:30 AM,sleep,calm,,,10,,,,,,,
4/29/16,5:30 AM,5:31 AM,wake,calm,,,10,,,,,,,
4/29/16,5:31 AM,6:20 AM,sleep,calm,,,10,,,,,,,
4/29/16,6:20 AM,6:30 AM,wake,calm,,,10,,,,,,,
4/29/16,6:30 AM,6:45 AM,Shower Dress,calm,,,8,,,,,,,
4/29/16,6:45 AM,7:12 AM,get set for train,calm,,,6,,,,,,,
4/29/16,7:12 AM,8:00 AM,Train,calm/ chatting with friends via txt,,4,6,,,,,,,
4/29/16,8:00 AM,8:20 AM,walk to work,calm/ happy,,4,6,,,,,,,
4/29/16,8:20 AM,9:00 AM,open shop,calm/ happy,,5,5,,,,,,,
4/29/16,9:00 AM,9:37 AM,amanda and hashem,happy,,6,,,,,,,,
4/29/16,9:37 AM,10:41 AM,,calm,,3,4,,,,,,,
4/29/16,10:41 AM,12:30 PM,Fix taxes and stuff,calm/anxious,,,6,4,,,,,,
4/29/16,12:30 PM,1:38 PM,work stuff,calm,,,5,,,,,,,
4/29/16,1:38 PM,4:00 PM,work stuff,calm/ happy,,5,5,,,,,,,
4/29/16,4:00 PM,4:30 PM,going to penn station,calm/ happy,,5,5,,,,,,,
4/29/16,4:30 PM,5:30 PM,train sleeping,calm,,,10,,,,,,,
4/29/16,5:30 PM,7:00 PM,reading and nap,calm,,,8,,,,,,,
4/29/16,7:00 PM,7:25 PM,Shower and restart,calm,,,10,,,,,,,
4/29/16,7:25 PM,9:03 PM,Write up of reading,calm,,,6,4,,,,,,
4/29/16,9:03 PM,11.59 PM,Write up of reading,calm,,,6,4,,,,,,
4/30/16,12:00 AM,1:30 AM,Watch TV,calm,,,6,4,,,,,,
4/30/16,1:30 AM,9:50 AM,sleep,calm,,,10,,,,,,,
4/30/16,9:50 AM,10:10 AM,Geyer and head ache,ANGRY,,,,,,10,,,,
4/30/16,10:10 AM,10:30 AM,shower and ate and head ache,,,,,,,8,,,,
4/30/16,10:30 AM,11:30 AM,put away laundry and head ache,,,,,,,8,,,,
4/30/16,11:30 AM,12:00 PM,Car accident,,,,,10,10,10,,,,
4/30/16,12:00 PM,5:00 PM,WORK ANGRY,,,,,,10,10,,,,
4/30/16,5:00 PM,7:00 PM,work,,,,,4,3,6,,,,
4/30/16,7:00 PM,11:59 PM,Work and dive home,,,,,,,6,,,,
5/1/16,12:00 AM,11:08 AM,Charge and sleep,,,,,,,,,,,
5/1/16,11:08 AM,1:00 PM,Write paper,,,,,2,4,2,,,,
5/1/16,1:00 PM,2:30 PM,Nap,,,,5,5,,3,,,,
5/1/16,2:30 PM,6:53 PM,writing at jens,,,,5,5,,,,,,
