"start time","start time ISO","start time timezone","start time offset","end time","end time ISO","end time timezone","end time offset",type,"actual seconds",steps,calories,minutes,"heart rate avg","heart rate min","heart rate max",state,version,id
"2016-05-28 01:33:33",2016-05-28T01:33:33Z,Asia/Shanghai,480,"2016-05-28 01:39:37",2016-05-28T01:39:37Z,Asia/Shanghai,480,walk,220,395,8.8000001907349,6.0666666666667,104.39545440674,,,complete,1,walk__2016-05-28T013333
"2016-05-28 02:39:24",2016-05-28T02:39:24Z,Asia/Shanghai,480,"2016-05-28 02:43:17",2016-05-28T02:43:17Z,Asia/Shanghai,480,walk,233,464,12.5,3.8833333333333,109.17167663574,,,complete,1,walk__2016-05-28T023924
"2016-05-28 02:45:56",2016-05-28T02:45:56Z,Asia/Shanghai,480,"2016-05-28 02:57:46",2016-05-28T02:57:46Z,Asia/Shanghai,480,walk,630,1116,37.200000762939,11.833333333333,112.37777709961,,,complete,1,walk__2016-05-28T024556
"2016-05-28 03:21:28",2016-05-28T03:21:28Z,Asia/Shanghai,480,"2016-05-28 03:43:15",2016-05-28T03:43:15Z,Asia/Shanghai,480,walk,816,1472,36.299999237061,21.783333333333,106.39460754395,,,complete,1,walk__2016-05-28T032128
"2016-05-28 04:25:39",2016-05-28T04:25:39Z,Asia/Shanghai,480,"2016-05-28 04:40:52",2016-05-28T04:40:52Z,Asia/Shanghai,480,walk,806,1471,45,15.216666666667,113.80521392822,,,complete,1,walk__2016-05-28T042539
"2016-05-28 05:29:20",2016-05-28T05:29:20Z,Asia/Shanghai,480,"2016-05-28 05:37:51",2016-05-28T05:37:51Z,Asia/Shanghai,480,walk,495,888,20.5,8.5166666666667,106.77618408203,,,complete,1,walk__2016-05-28T052920
"2016-05-28 05:59:34",2016-05-28T05:59:34Z,Asia/Shanghai,480,"2016-05-28 06:06:53",2016-05-28T06:06:53Z,Asia/Shanghai,480,walk,272,456,19.700000762939,7.3166666666667,122.98872375488,,,complete,1,walk__2016-05-28T055934
"2016-05-28 06:19:40",2016-05-28T06:19:40Z,Asia/Shanghai,480,"2016-05-28 06:26:02",2016-05-28T06:26:02Z,Asia/Shanghai,480,walk,273,488,13.60000038147,6.3666666666667,109.16117095947,,,complete,1,walk__2016-05-28T061940
"2016-05-28 06:30:06",2016-05-28T06:30:06Z,Asia/Shanghai,480,"2016-05-28 06:35:46",2016-05-28T06:35:46Z,Asia/Shanghai,480,walk,231,508,16,5.6666666666667,117.46320343018,,,complete,1,walk__2016-05-28T063006
"2016-05-28 09:06:42",2016-05-28T09:06:42Z,Asia/Shanghai,480,"2016-05-28 09:17:42",2016-05-28T09:17:42Z,Asia/Shanghai,480,walk,538,964,22.89999961853,11,106.23048400879,,,complete,1,walk__2016-05-28T090642
"2016-05-28 09:30:53",2016-05-28T09:30:53Z,Asia/Shanghai,480,"2016-05-28 09:35:59",2016-05-28T09:35:59Z,Asia/Shanghai,480,walk,207,369,7.8000001907349,5.1,102.01449584961,,,complete,1,walk__2016-05-28T093053
"2016-05-28 09:52:05",2016-05-28T09:52:05Z,Asia/Shanghai,480,"2016-05-28 10:04:20",2016-05-28T10:04:20Z,Asia/Shanghai,480,walk,620,1119,21.60000038147,12.25,101.85968017578,,,complete,1,walk__2016-05-28T095205
"2016-05-28 10:12:24",2016-05-28T10:12:24Z,Asia/Shanghai,480,"2016-05-28 10:16:54",2016-05-28T10:16:54Z,Asia/Shanghai,480,walk,202,396,6.1999998092651,4.5,98.579208374023,,,complete,1,walk__2016-05-28T101224
"2016-05-28 11:41:06",2016-05-28T11:41:06Z,Asia/Shanghai,480,"2016-05-28 11:58:03",2016-05-28T11:58:03Z,Asia/Shanghai,480,walk,845,1549,48,16.95,113.78632354736,,,complete,1,walk__2016-05-28T114106
"2016-05-28 14:00:10",2016-05-28T14:00:10Z,Asia/Shanghai,480,"2016-05-28 14:18:36",2016-05-28T14:18:36Z,Asia/Shanghai,480,walk,888,1547,49.099998474121,18.433333333333,111.40428161621,,,complete,1,walk__2016-05-28T140010
