"start time","start time ISO","start time timezone","start time offset","end time","end time ISO","end time timezone","end time offset",type,"actual seconds",steps,calories,minutes,"heart rate avg","heart rate min","heart rate max",state,version,id
"2016-05-29 05:54:01",2016-05-29T05:54:01Z,Asia/Shanghai,480,"2016-05-29 06:01:37",2016-05-29T06:01:37Z,Asia/Shanghai,480,walk,385,744,22.89999961853,7.6,116.47792053223,,,complete,1,walk__2016-05-29T055401
"2016-05-29 06:41:16",2016-05-29T06:41:16Z,Asia/Shanghai,480,"2016-05-29 06:47:03",2016-05-29T06:47:03Z,Asia/Shanghai,480,walk,320,605,19.5,5.7833333333333,115.06562805176,,,complete,1,walk__2016-05-29T064116
"2016-05-29 07:39:03",2016-05-29T07:39:03Z,Asia/Shanghai,480,"2016-05-29 07:44:30",2016-05-29T07:44:30Z,Asia/Shanghai,480,walk,237,421,9.1999998092651,5.45,103.35021209717,,,complete,1,walk__2016-05-29T073903
"2016-05-29 10:42:41",2016-05-29T10:42:41Z,Asia/Shanghai,480,"2016-05-29 10:54:53",2016-05-29T10:54:53Z,Asia/Shanghai,480,walk,560,979,33.099998474121,12.2,119.27500152588,,,complete,1,walk__2016-05-29T104241
"2016-05-29 10:57:38",2016-05-29T10:57:38Z,Asia/Shanghai,480,"2016-05-29 11:04:30",2016-05-29T11:04:30Z,Asia/Shanghai,480,walk,343,625,19.39999961853,6.8666666666667,116.2274017334,,,complete,1,walk__2016-05-29T105738
"2016-05-29 11:17:21",2016-05-29T11:17:21Z,Asia/Shanghai,480,"2016-05-29 11:24:26",2016-05-29T11:24:26Z,Asia/Shanghai,480,walk,328,595,14.60000038147,7.0833333333333,108.78658294678,,,complete,1,walk__2016-05-29T111721
"2016-05-29 11:35:01",2016-05-29T11:35:01Z,Asia/Shanghai,480,"2016-05-29 11:49:46",2016-05-29T11:49:46Z,Asia/Shanghai,480,walk,741,1417,42,14.75,114.97300720215,,,complete,1,walk__2016-05-29T113501
"2016-05-29 12:45:45",2016-05-29T12:45:45Z,Asia/Shanghai,480,"2016-05-29 13:03:45",2016-05-29T13:03:45Z,Asia/Shanghai,480,walk,887,1609,50.599998474121,18,117.1298828125,,,complete,1,walk__2016-05-29T124545
"2016-05-29 13:48:00",2016-05-29T13:48:00Z,Asia/Shanghai,480,"2016-05-29 14:07:23",2016-05-29T14:07:23Z,Asia/Shanghai,480,walk,1074,1843,45.799999237061,19.383333333333,108.91247558594,,,complete,1,walk__2016-05-29T1348
