starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
4/27/16 6:40,4/27/16 7:05,4/27/16,6:40 AM,7:05 AM,Get Dressed,home,Anxious,,,,2.00,8.00,,,,,,2.00,8.00,0.00,2.00,8.00,8.00
4/27/16 7:05,4/27/16 7:12,4/27/16,7:05 AM,7:12 AM,Go to station wait for train,,Anxious,,,,2.00,8.00,,,,,,2.00,8.00,0.00,2.00,8.00,8.00
4/27/16 7:12,4/27/16 8:00,4/27/16,7:12 AM,8:00 AM,Train,,Anxious,,,,2.00,8.00,,,,,,2.00,8.00,0.00,2.00,8.00,8.00
4/27/16 8:00,4/27/16 8:27,4/27/16,8:00 AM,8:27 AM,Walking to work exercise,,Anxious,,,,2.00,8.00,,,,,,2.00,8.00,0.00,2.00,8.00,8.00
4/27/16 8:27,4/27/16 8:45,4/27/16,8:27 AM,8:45 AM,"returning equipment, discussing missing equipment",work,Anxious,,,,3.00,6.00,,,,,,3.00,6.00,0.00,3.00,6.00,6.00
4/27/16 8:45,4/27/16 9:10,4/27/16,8:45 AM,9:10 AM,Updating logs,work,Anxious,,,,3.00,6.00,,,,,,3.00,6.00,0.00,3.00,6.00,6.00
4/27/16 9:10,4/27/16 9:48,4/27/16,9:10 AM,9:48 AM,Going through morning work routine,work,Anxious,,,,3.00,6.00,,,,,,3.00,6.00,0.00,3.00,6.00,6.00
4/27/16 9:48,4/27/16 10:53,4/27/16,9:48 AM,10:53 AM,Work stuff,work,Anxious,,,,3.00,3.00,,3.00,,,,3.00,6.00,0.00,3.00,6.00,3.00
4/27/16 10:53,4/27/16 12:05,4/27/16,10:53 AM,12:05 PM,Work stuff/coding,work,Anxious/Angry,,,,3.00,3.00,,5.00,,,,3.00,8.00,0.00,3.00,8.00,3.00
4/27/16 12:05,4/27/16 13:00,4/27/16,12:05 PM,1:00 PM,Work stuff/coding,work,Anxious/Angry,,,,,6.00,,8.00,,,,0.00,14.00,0.00,0.00,14.00,6.00
4/27/16 13:00,4/27/16 14:04,4/27/16,1:00 PM,2:04 PM,Talk with Colin ,work,Calm,,,,,6.00,,8.00,,,,0.00,14.00,0.00,0.00,14.00,6.00
4/27/16 14:04,4/27/16 15:00,4/27/16,2:04 PM,3:00 PM,Work stuff/coding,work,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
