starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored
2016-04-22 13:48:00,2016-04-22 16:12:00,4/22/16,1:48:00 PM,4:12:00 PM,writing thesis,barb's office,anxious,6,,,,,,,,,
2016-04-22 16:12:00,2016-04-22 17:15:00,4/22/16,4:12:00 PM,5:15:00 PM,writing thesis,barb's office,anxious,6,,,,,,,,,
2016-04-22 17:15:00,2016-04-22 19:05:00,4/22/16,5:15:00 PM,7:05:00 PM,eating russian dumplings with annie then watching hashem give everyone a dumpling and seeing them enjoy them!!!,5th floor lounge,happy,10,,,,,,,,,
2016-04-22 19:05:00,2016-04-22 19:15:00,4/22/16,7:05:00 PM,7:15:00 PM,photofeast,3rd floor,excited/anxious,3-May,,,,,,,,,
2016-04-22 19:15:00,2016-04-22 19:25:00,4/22/16,7:15:00 PM,7:25:00 PM,naked picture of charles in photofeast,3rd floor,what can only be described as traumatic shock,10,,,,,,,,,
2016-04-22 19:25:00,2016-04-22 19:40:00,4/22/16,7:25:00 PM,7:40:00 PM,colin making fun of me for drinking a beer. then annie making fun of me for drinking a beer.,3rd floor,whatever emotion slanty eye is,8,,,,,,,,,
2016-04-22 19:40:00,2016-04-22 20:30:00,4/22/16,7:40:00 PM,8:30:00 PM,made awkward eye contact/facial expression exchange with prof i've been crushing on all semester only to then walk into someone else i knew and didn't need to see!,outside of 80 5th av,anxious,10,,,,,,,,,
2016-04-22 20:30:00,2016-04-22 21:00:00,4/22/16,8:30:00 PM,9:00:00 PM,eating ice cream with annie!,chinatown ice cream factory,happy,10,,,,,,,,,
2016-04-22 21:00:00,2016-04-22 21:50:00,4/22/16,9:00:00 PM,9:50:00 PM,got home,home,calm,9,,,,,,,,,
2016-04-22 21:50:00,2016-04-22 23:00:00,4/22/16,9:50:00 PM,11:00:00 PM,start exercising (~1hr),home,n/a?,,,,,,,,,,
2016-04-22 23:00:00,2016-04-22 05:00:00,4/22/16,11:00:00 PM,5:00:00 AM,finished shower,home,calm,10,,,,,,,,,
2016-04-23 05:00:00,2016-04-23 08:15:00,4/23/16,5:00:00 AM,8:15:00 AM,woken up by loud roommate coming home at unreasonable hour to be loud,home,angry/tired,7-May,,,,,,,,,
2016-04-23 08:15:00,2016-04-23 09:15:00,4/23/16,8:15:00 AM,9:15:00 AM,woke up thinking i overslept,home,anxious,5,,,,,,,,,
2016-04-23 09:15:00,2016-04-23 12:00:00,4/23/16,9:15:00 AM,12:00:00 PM,woke up at right time,home,calm,8,,,,,,,,,
2016-04-23 12:00:00,2016-04-23 14:45:00,4/23/16,12:00:00 PM,2:45:00 PM,Reading a book in prospect park waiting for late people,prospect park,Calm,10,,,,,,,,,
2016-04-23 14:45:00,2016-04-23 16:00:00,4/23/16,2:45:00 PM,4:00:00 PM,Sitting in the lab with Sally ,3rd floor,Tired/hungry!,9-Jul,,,,,,,9.00,7.00,
2016-04-23 16:00:00,2016-04-23 18:30:00,4/23/16,4:00:00 PM,6:30:00 PM,writing thesis,3rd floor,anxious,6,,,,6.00,,,,,
2016-04-23 18:30:00,2016-04-23 19:15:00,4/23/16,6:30:00 PM,7:15:00 PM,attacked by jesus freaks in front of university center,university center,anxious,4,,,,4.00,,,,,
2016-04-23 19:15:00,2016-04-23 19:45:00,4/23/16,7:15:00 PM,7:45:00 PM,trying to find books at bobst,bobst,anxious,5,,,,5.00,,,,,
2016-04-23 19:45:00,2016-04-23 20:45:00,4/23/16,7:45:00 PM,8:45:00 PM,annoying people on the subway bumping into me,subway,angry,4,,,,,,4.00,,,
2016-04-23 20:45:00,2016-04-23 23:00:00,4/23/16,8:45:00 PM,11:00:00 PM,start exercising (~1hr),home,n/a?,,,,,,,,,,
2016-04-23 23:00:00,2016-04-23 00:00:00,4/23/16,11:00:00 PM,12:00:00 AM,cooked food for tomorrow,home,happy,7,,7.00,,,,,,,
2016-04-24 00:00:00,2016-04-24 11:15:00,4/24/16,12:00:00 AM,11:15:00 AM,folding laundry and watching tv,home,calm,10,,,10.00,,,,,,
2016-04-24 11:15:00,2016-04-24 11:45:00,4/24/16,11:15:00 AM,11:45:00 AM,arash gets to work and is being a jerk,4th floor cage,angry,7,,,,,,,,,
2016-04-24 11:45:00,2016-04-24 12:30:00,4/24/16,11:45:00 AM,12:30:00 PM,sally and boris come in for studio,4th floor cage,happy,4,,,,,,,,,
2016-04-24 12:30:00,2016-04-24 13:15:00,4/24/16,12:30:00 PM,1:15:00 PM,talking to sol and Arash ,4th floor cage,angry,8,,,,,,,,,
2016-04-24 13:15:00,2016-04-24 14:00:00,4/24/16,1:15:00 PM,2:00:00 PM,talking to arash,4th floor cage,angry,6,,,,,,,,,
2016-04-24 14:00:00,2016-04-24 15:00:00,4/24/16,2:00:00 PM,3:00:00 PM,arash shows me where to download books,4th floor cage,excited,7,,,,,,,,,
2016-04-24 15:00:00,2016-04-24 15:30:00,4/24/16,3:00:00 PM,3:30:00 PM,sol disappeared and lots of people need him,4th floor cage,anxious,6,,,,,,,,,
2016-04-24 15:30:00,2016-04-24 15:55:00,4/24/16,3:30:00 PM,3:55:00 PM,talking to sol and Arash ,4th floor cage,Angry,10,,,,,,,,,
2016-04-24 15:55:00,2016-04-24 16:00:00,4/24/16,3:55:00 PM,4:00:00 PM,finally some silence from the peanut gallery,4th floor cage,angry,2,,,,,,,,,
2016-04-24 16:00:00,2016-04-24 16:25:00,4/24/16,4:00:00 PM,4:25:00 PM,thinking about talking to sol and arash because i had to write it down in this thing,4th floor cage,angry,6,,,,,,,,,
2016-04-24 16:25:00,2016-04-24 19:00:00,4/24/16,4:25:00 PM,7:00:00 PM,hehe i got sol and arash to do soldier kicks,4th floor cage,excited,5,,,,,,,,,
2016-04-24 19:00:00,2016-04-24 19:01:00,4/24/16,7:00:00 PM,7:01:00 PM,kevin came to work! now i can leave,4th floor cage,excited,4,,,,,,,,,
2016-04-24 20:15:00,2016-04-24 21:25:00,4/24/16,8:15:00 PM,9:25:00 PM,exercise (~1hr),home,n/a?,,,,,,,,,,
2016-04-25 10:00:00,2016-04-25 11:40:00,4/25/16,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th,bored,6,,,,,,,,,
2016-04-25 12:30:00,2016-04-25 13:00:00,4/25/16,12:30:00 PM,1:00:00 PM,working on presentation,barb's office,anxious,5,,,,,,,,,
2016-04-25 13:00:00,2016-04-25 13:35:00,4/25/16,1:00:00 PM,1:35:00 PM,working on microeconomics homework,barb's office,anxious,5,,,,,,,,,
2016-04-25 13:50:00,2016-04-25 15:30:00,4/25/16,1:50:00 PM,3:30:00 PM,working on thesis in political psych class,barb's office,anxious,7,,,,,,,,,
2016-04-25 16:00:00,2016-04-25 16:40:00,4/25/16,4:00:00 PM,4:40:00 PM,working on microeconomics homework,barb's office,anxious/tired,8-Jun,,,,,,,,,
2016-04-25 16:50:00,2016-04-25 17:00:00,4/25/16,4:50:00 PM,5:00:00 PM,drinking hot cocoa,5th floor lounge,happy,8,,,,,,,,,
