,timestamp,heartrate,steps,calories,gsr,skintemp,airtemp,excitement,happy,calm,anxious,sad,angry,hungry,tired,bored,exercise,code,anne,will,mick,geyer,home,work,school
0,2016-04-26 00:00:00,0.0,0.0,1.3,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2016-04-26 00:01:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2016-04-26 00:02:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2016-04-26 00:03:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2016-04-26 00:04:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2016-04-26 00:05:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2016-04-26 00:06:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2016-04-26 00:07:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2016-04-26 00:08:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2016-04-26 00:09:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2016-04-26 00:10:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2016-04-26 00:11:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2016-04-26 00:12:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2016-04-26 00:13:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,2016-04-26 00:14:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,2016-04-26 00:15:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,2016-04-26 00:16:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,2016-04-26 00:17:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2016-04-26 00:18:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,2016-04-26 00:19:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2016-04-26 00:20:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2016-04-26 00:21:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2016-04-26 00:22:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2016-04-26 00:23:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2016-04-26 00:24:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2016-04-26 00:25:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2016-04-26 00:26:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2016-04-26 00:27:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,2016-04-26 00:28:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2016-04-26 00:29:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2016-04-26 00:30:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2016-04-26 00:31:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2016-04-26 00:32:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2016-04-26 00:33:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2016-04-26 00:34:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2016-04-26 00:35:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2016-04-26 00:36:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2016-04-26 00:37:00,0.0,0.0,1.2,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2016-04-26 00:38:00,0.0,0.0,1.1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
