,timestamp,heartrate,steps,calories,gsr,skintemp,airtemp,excitement,happy,calm,anxious,sad,angry,hungry,tired,bored,exercise,thesis,sarah,barb,sol,arash,work,home
39,2016-05-02 00:39:00,69.0,0.0,1.0,6.840000000000001e-05,95.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2016-05-02 00:40:00,70.0,0.0,1.1,7.43e-05,95.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2016-05-02 00:41:00,66.0,0.0,1.0,6.8e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2016-05-02 00:42:00,66.0,0.0,1.0,6.47e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,2016-05-02 00:43:00,64.0,0.0,1.1,6.759999999999999e-05,95.0,93.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2016-05-02 00:44:00,63.0,0.0,1.0,6.73e-05,94.1,93.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2016-05-02 00:45:00,71.0,0.0,1.0,6.73e-05,94.1,92.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2016-05-02 00:46:00,66.0,0.0,1.1,6.879999999999999e-05,94.1,93.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,2016-05-02 00:47:00,69.0,0.0,1.0,6.0899999999999996e-05,94.1,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,2016-05-02 00:48:00,68.0,0.0,1.0,6.759999999999999e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,2016-05-02 00:49:00,70.0,0.0,1.1,6.92e-05,95.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2016-05-02 00:50:00,65.0,0.0,1.0,6.36e-05,95.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,2016-05-02 00:51:00,68.0,0.0,1.0,6.54e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,2016-05-02 00:52:00,69.0,0.0,1.1,6.579999999999999e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,2016-05-02 00:53:00,71.0,0.0,1.0,6.579999999999999e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,2016-05-02 00:54:00,69.0,0.0,1.0,6.579999999999999e-05,95.0,94.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,2016-05-02 00:55:00,69.0,0.0,1.1,6.579999999999999e-05,95.0,93.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,2016-05-02 00:56:00,78.0,0.0,1.0,6.51e-05,95.0,91.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
