starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-05 19:00:00,2016-05-05 19:30:00,2016-05-05,7:00 PM,7:30 PM,Talking to Charles,Cage,Calm,5,,,5,,,,,,,5,0,0,5,0,0
2016-05-05 20:00:00,2016-05-05 21:30:00,2016-05-05,8:00 PM,9:30 PM,Watching korean drama,Cage,Excited,5,5,,,,,,,,,5,0,5,0,0,0
2016-05-05 22:45:00,2016-05-05 23:30:00,2016-05-05,10:45 PM,11:30 PM,Charles won't leave,Cage,Angry,3,,,,,,3,,,,0,3,0,0,3,0
2016-05-06 08:00:00,2016-05-06 08:36:00,2016-05-06,8:00 AM,8:36 AM,Going in and out of sleep,Home,Tired,10,,,,,,,,10,,0,0,0,0,0,0
2016-05-06 11:05:00,2016-05-06 11:14:00,2016-05-06,11:05 AM,11:14 AM,Bus not coming,Bus stop (Coney Island),Anxious,6,,,,6,,,,,,0,6,0,0,6,6
2016-05-06 12:28:00,2016-05-06 12:34:00,2016-05-06,12:28 PM,12:34 PM,In wrong building for orals,6 E 16th,Anxious,8,,,,8,,,,,,0,8,0,0,8,8
2016-05-06 12:40:00,2016-05-06 12:49:00,2016-05-06,12:40 PM,12:49 PM,Waiting for my turn for orals,"79 5th Ave, 16th floor",Anxious,5,,,,5,,,,,,0,5,0,0,5,5
2016-05-06 12:49:00,2016-05-06 13:14:00,2016-05-06,12:49 PM,1:14 PM,Orals,"79 5th Ave, 16th floor",Anxious,5,,,,5,,,,,,0,5,0,0,5,5
2016-05-06 13:14:00,2016-05-06 13:30:00,2016-05-06,1:14 PM,1:30 PM,Talking to Abby,"79 5th Ave, 16th floor",Calm,5,,,5,,,,,,,5,0,0,5,0,0
2016-05-06 13:47:00,2016-05-06 15:00:00,2016-05-06,1:47 PM,3:00 PM,With Sarah and Hashem,Durst,Angry,5,,,,,,5,,,,0,5,0,0,5,0
2016-05-06 15:10:00,2016-05-06 15:30:00,2016-05-06,3:10 PM,3:30 PM,Eating fish and chips with Sarah,"66 12th Street, 407",Happy,5,,5,,,,,,,,5,0,5,5,0,0
2016-05-06 16:21:00,2016-05-06 16:21:00,2016-05-06,4:21 PM,4:21 PM,Sarah messages me on Google,"66 12th Street, 407",Annoyed,1,,,,,,1,,,,0,1,0,0,1,0
2016-05-06 18:00:00,2016-05-06 22:46:00,2016-05-06,6:00 PM,10:46 PM,With Kai,Kai's house (brooklyn),Tired,10,,,,,,,,10,,0,0,0,0,0,0
2016-05-06 22:46:00,2016-05-06 23:10:00,2016-05-06,10:46 PM,11:10 PM,Kai driving me home,,Tired,5,,,,,,,,5,,0,0,0,0,0,0
2016-05-07 12:57:00,2016-05-07 14:00:00,2016-05-07,12:57 PM,2:00 PM,Working on menu cards,Home,Tired,8,,,,,,,,8,,0,0,0,0,0,0
2016-05-07 14:00:00,2016-05-07 14:30:00,2016-05-07,2:00 PM,2:30 PM,Walking to train station with mom,Coney Island,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-07 14:30:00,2016-05-07 14:45:00,2016-05-07,2:30 PM,2:45 PM,Talking with Grandma's sister,"D train, Coney Island",Calm,6,,,6,,,,,,,6,0,0,6,0,0
2016-05-07 15:00:00,2016-05-07 15:30:00,2016-05-07,3:00 PM,3:30 PM,Eating with mom,"86 street, bay parkway",Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-07 15:30:00,2016-05-07 16:30:00,2016-05-07,3:30 PM,4:30 PM,"Visiting Kai at work, waiting for Judson",TD Bank,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-07 16:30:00,2016-05-07 18:00:00,2016-05-07,4:30 PM,6:00 PM,Car ride to Ippudo,,"Calm, happy",8,,8,8,,,,,,,16,0,8,16,0,0
2016-05-07 18:20:00,2016-05-07 20:00:00,2016-05-07,6:20 PM,8:00 PM,Eating,Ippudo,Happy,8,,8,,,,,,,,8,0,8,8,0,0
